category,Gene name,ID,term,count,genes,logFC,adj_pval
CC,IDH1,GO:1903561,extracellular vesicle,11,O75874,Down,8.95E-10
CC,IDH1,GO:0043230,extracellular organelle,11,O75874,Down,9.04E-10
CC,IDH1,GO:0065010,extracellular membrane-bounded organelle,11,O75874,Down,9.04E-10
CC,IDH1,GO:0005615,extracellular space,11,O75874,Down,1.38E-07
CC,IDH1,GO:0031982,vesicle,12,O75874,Down,2.55E-08
CC,IDH1,GO:0005576,extracellular region,13,O75874,Down,1.81E-09
CC,IDH1,GO:0031410,cytoplasmic vesicle,7,O75874,Down,3.07E-04
CC,IDH1,GO:0097708,intracellular vesicle,7,O75874,Down,3.09E-04
CC,CTSC,GO:0035578,azurophil granule lumen,5,P53634,Down,2.34E-09
CC,CTSC,GO:0042582,azurophil granule,5,P53634,Down,3.14E-08
CC,CTSC,GO:0005766,primary lysosome,5,P53634,Down,3.14E-08
CC,CTSC,GO:0005775,vacuolar lumen,5,P53634,Down,5.53E-08
CC,CTSC,GO:0034774,secretory granule lumen,6,P53634,Down,2.38E-08
CC,CTSC,GO:0060205,cytoplasmic vesicle lumen,6,P53634,Down,2.52E-08
CC,CTSC,GO:0031983,vesicle lumen,6,P53634,Down,2.61E-08
CC,CTSC,GO:0030141,secretory granule,7,P53634,Down,3.36E-07
CC,CTSC,GO:0000323,lytic vacuole,5,P53634,Down,5.59E-05
CC,CTSC,GO:0005764,lysosome,5,P53634,Down,5.59E-05
CC,CTSC,GO:0099503,secretory vesicle,7,P53634,Down,1.10E-06
CC,CTSC,GO:0005773,vacuole,5,P53634,Down,1.02E-04
CC,CTSC,GO:0070062,extracellular exosome,11,P53634,Down,8.08E-10
CC,CTSC,GO:1903561,extracellular vesicle,11,P53634,Down,8.95E-10
CC,CTSC,GO:0043230,extracellular organelle,11,P53634,Down,9.04E-10
CC,CTSC,GO:0065010,extracellular membrane-bounded organelle,11,P53634,Down,9.04E-10
CC,CTSC,GO:0005615,extracellular space,11,P53634,Down,1.38E-07
CC,CTSC,GO:0031982,vesicle,12,P53634,Down,2.55E-08
CC,CTSC,GO:0005576,extracellular region,13,P53634,Down,1.81E-09
CC,CTSC,GO:0031410,cytoplasmic vesicle,7,P53634,Down,3.07E-04
CC,CTSC,GO:0097708,intracellular vesicle,7,P53634,Down,3.09E-04
CC,SLC27A2,GO:0030141,secretory granule,7,O14975,Down,3.36E-07
CC,SLC27A2,GO:0099503,secretory vesicle,7,O14975,Down,1.10E-06
CC,SLC27A2,GO:0070062,extracellular exosome,11,O14975,Down,8.08E-10
CC,SLC27A2,GO:1903561,extracellular vesicle,11,O14975,Down,8.95E-10
CC,SLC27A2,GO:0043230,extracellular organelle,11,O14975,Down,9.04E-10
CC,SLC27A2,GO:0065010,extracellular membrane-bounded organelle,11,O14975,Down,9.04E-10
CC,SLC27A2,GO:0005615,extracellular space,11,O14975,Down,1.38E-07
CC,SLC27A2,GO:0031982,vesicle,12,O14975,Down,2.55E-08
CC,SLC27A2,GO:0005576,extracellular region,13,O14975,Down,1.81E-09
CC,SLC27A2,GO:0031410,cytoplasmic vesicle,7,O14975,Down,3.07E-04
CC,SLC27A2,GO:0097708,intracellular vesicle,7,O14975,Down,3.09E-04
CC,KRT19,GO:0070062,extracellular exosome,11,P08727,Up,8.08E-10
CC,KRT19,GO:1903561,extracellular vesicle,11,P08727,Up,8.95E-10
CC,KRT19,GO:0043230,extracellular organelle,11,P08727,Up,9.04E-10
CC,KRT19,GO:0065010,extracellular membrane-bounded organelle,11,P08727,Up,9.04E-10
CC,KRT19,GO:0005615,extracellular space,11,P08727,Up,1.38E-07
CC,KRT19,GO:0031982,vesicle,12,P08727,Up,2.55E-08
CC,KRT19,GO:0005576,extracellular region,13,P08727,Up,1.81E-09
