Gene Symbol,DESeq2 (BH adjusted p-value ),edgeR (BH adjusted p-value ),ALDEx2 (effect size),Direction of expression,Uniprot ID
ITGA5,2.10E-09,5.40E-04,1.617,Up,P08648
KISS1R,3.90E-08,5.60E-04,,Up,Q969F8
KLHL42,2.92E-03,,-1.615,Down,Q9P2K6
KRTAP26-1,7.60E-16,6.30E-08,,Up,Q6PEX3
LAMA2,1.20E-05,6.20E-03,,Down,P24043
LAMB1,2.30E-06,8.30E-03,,Down,P07942
LEP,1.80E-22,1.00E-06,2.338,Up,P41159
LHFP,3.20E-04,9.60E-03,,Down,Q9Y693
LIMCH1,2.10E-10,6.20E-03,1.487,Up,Q9UPQ0
LIMS1,2.70E-04,6.80E-03,,Up,P48059
LONRF2,4.20E-09,1.40E-04,,Down,Q1L5Z9
LPAR5,3.60E-05,7.10E-03,,Down,Q9H1C0
LY6D,4.70E-16,4.00E-03,1.667,Up,Q14210
MAP7D2,1.10E-04,8.00E-03,-1.666,Down,Q96T17
MAST4,7.40E-06,3.60E-03,1.546,Up,O15021
MCM6,6.93E-03,,-1.214,Down,Q14566
MED13L,2.00E-04,,1.593,Up,Q71F56
METTL7A,1.70E-04,8.30E-03,,Down,Q9H8H3
MFAP5,1.10E-05,,1.715,Up,Q13361
MICAL3,1.90E-06,,1.536,Up,Q7RTP6
MIDN,3.60E-04,,1.592,Up,Q504T8
MIF,1.00E-05,9.60E-03,,Up,P03971
MOCS2,9.30E-05,7.20E-03,-1.446,Down,O96033
MORC4,3.10E-05,2.90E-03,,Down,Q8TE76
MPP1,6.13E-04,,-1.574,Down,Q00013
MYO7A,9.30E-05,6.80E-03,,Down,Q13402
MYO7B,2.90E-23,1.40E-06,2.269,Up,Q6PIF6
NCKAP1L,2.22E-04,,-1.693,Down,P55160
NDRG1,1.60E-12,5.60E-04,1.69,Up,Q92597
NEK11,5.90E-14,2.30E-04,1.858,Up,Q8NG66
NEURL1,5.60E-11,4.30E-03,1.731,Up,O76050
NFATC2,1.02E-03,,-1.569,Down,Q13469
NFKBIZ,1.30E-04,8.10E-03,,Up,Q9BYH8
NPL,2.77E-04,,-1.416,Down,Q9BXD5
NTN4,6.30E-07,2.00E-03,,Down,Q9HB63
NTRK2,2.50E-20,3.60E-05,1.896,Up,Q16620
OCRL,2.60E-05,7.50E-03,,Up,Q01968
OSR1,3.70E-05,9.30E-03,,Down,O95747
P4HA1,2.30E-06,8.10E-03,,Up,P13674
PAM,2.20E-04,,1.447,Up,P19021
PAPPA2,2.70E-20,5.20E-03,1.844,Up,Q9BXP8
PC,2.40E-06,3.40E-03,-1.613,Down,P11498
PDK2,2.50E-05,4.90E-03,,Down,Q15119
PDLIM2,2.20E-04,,1.545,Up,Q96JY6
PDZD7,1.90E-12,5.80E-03,1.822,Up,Q9H5P4
PHYHIP,3.00E-15,6.00E-05,1.601,Up,Q92561
PIWIL4,1.50E-06,2.90E-03,-1.536,Down,Q7Z3Z4
PJA1,5.20E-05,8.70E-03,1.488,Up,Q8NG27
PLA2G16,2.40E-09,2.30E-03,1.918,Up,P53816
PPL,2.10E-12,2.50E-05,1.943,Up,O60437
PPP1R12C,1.10E-04,,1.753,Up,Q9BZL4
PPP1R1C,4.40E-10,2.90E-03,,Up,Q8WVI7
PROCR,5.90E-14,2.60E-04,2.001,Up,Q9UNN8
PRSS54,5.60E-11,6.00E-05,1.675,Up,Q6PEW0
PTPN9,3.99E-03,,-1.53,Down,P43378
PVRL4,1.90E-12,7.00E-03,1.592,Up,Q96NY8
QPCT,3.30E-15,2.80E-03,2.108,Up,Q16769
RAB3IL1,5.50E-06,2.80E-03,-1.471,Down,Q8TBN0
RASSF4,1.20E-05,6.20E-03,-1.63,Down,Q9H2L5
RASSF6,9.67E-05,,-1.637,Down,Q6ZTQ3
RASSF7,1.50E-06,8.70E-03,,Up,Q02833
RCAN1,3.20E-06,2.40E-03,-1.734,Down,P53805
RDH13,2.60E-10,,1.509,Up,Q8NBN7
RHBDD2,9.20E-07,1.20E-03,1.666,Up,Q6NTF9
RP11-211G3.3,6.80E-12,6.00E-05,,Up,
RP11-986E7.7,4.50E-09,1.20E-03,,Up,
RUSC2,2.50E-05,2.40E-03,,Up,Q8N2Y8
S100A16,8.40E-04,9.40E-03,,Up,Q96FQ6
S100A6,4.90E-05,,1.582,Up,P06703
SASH1,2.90E-10,2.00E-03,,Up,O94885
SASH3,6.10E-06,1.90E-03,-1.68,Down,O75995
SBSPON,6.40E-05,7.20E-03,,Down,Q8IVN8
SCARB1,5.80E-07,6.00E-03,1.904,Up,Q8WTV0
SCN11A,7.30E-05,5.60E-03,,Down,Q9UI33
SCN7A,2.00E-06,6.20E-03,,Down,Q01118
SCUBE2,7.20E-08,2.60E-03,,Down,Q9NQ36
SDC3,1.30E-05,2.80E-03,,Up,O75056
SEL1L3,3.70E-05,3.40E-03,-1.539,Down,Q68CR1
SERPINA3,3.70E-14,3.30E-06,,Up,P01011
SFXN3,3.90E-10,4.40E-04,1.798,Up,Q9BWM7
SH3PXD2A,2.70E-14,3.20E-06,2.568,Up,Q5TCZ1
SIGLEC6,4.00E-11,1.20E-03,,Up,O43699
SIPA1L1,1.00E-04,,1.53,Up,O43166
SLAMF1,1.10E-19,2.20E-03,-1.874,Down,Q13291
SLC16A3,9.20E-07,,1.704,Up,O15427
SLC1A6,8.50E-11,2.80E-03,,Up,P48664
SLC27A2,1.90E-06,1.10E-03,-1.368,Down,O14975
SLC28A2,1.40E-06,8.70E-03,,Down,O43868
SLC35D1,1.10E-06,5.60E-04,-1.619,Down,Q9NTN3
SLC6A6,2.90E-06,,1.282,Up,P31641
SLC6A8,1.50E-12,1.10E-03,1.558,Up,P48029
SLC9A9,1.20E-07,7.00E-04,-1.725,Down,Q8IVB4
SLCO2A1,3.50E-12,2.20E-03,1.865,Up,Q92959
SMAGP,5.80E-05,1.70E-03,,Down,Q0VAQ4
SMIM5,1.20E-05,,1.585,Up,Q71RC9
SNAI1,5.80E-05,,1.608,Up,O95863
SNTB1,8.60E-05,5.40E-03,,Down,Q13884
SNX18,1.20E-05,2.80E-03,-1.66,Down,Q96RF0
SPAG4,2.10E-16,6.10E-04,1.738,Up,Q9NPE6
SRPX,2.31E-04,,-1.345,Down,P78539
SSFA2,1.30E-04,,1.51,Up,P28290
STEAP3,4.60E-05,5.20E-03,,Down,Q658P3
STX1A,7.10E-07,1.10E-03,1.291,Up,Q16623
SYDE1,3.50E-12,6.60E-04,1.634,Up,Q6ZW31
SYN3,8.30E-06,3.20E-03,,Up,O14994
TBC1D28,8.90E-18,5.60E-04,,Up,Q2M2D7
TECR,5.20E-05,,1.617,Up,Q9NZ01
TENM4,3.50E-09,8.90E-03,,Up,Q6N022
TET3,1.80E-07,4.50E-03,1.324,Up,O43151
TGFB1,1.90E-06,,1.836,Up,P01137
TGFBR2,3.80E-05,7.20E-03,,Down,P37173
TIMP3,2.80E-06,1.60E-03,,Up,P35625
TMEM132C,1.30E-05,9.60E-03,,Down,Q8N3T6
TMEM173,4.30E-04,6.50E-03,,Down,Q86WV6
TMEM179B,2.20E-04,8.70E-03,,Up,Q7Z7N9
